idx,source,model,question,reference,generated,accuracy,completeness,clarity,safety,rationale,judge_latency_s,judge_error
76,medquad,QLoRA Qwen,What are the symptoms of Agenesis of the dorsal pancreas ?,"What are the signs and symptoms of Agenesis of the dorsal pancreas? The Human Phenotype Ontology provides the following list of signs and symptoms for Agenesis of the dorsal pancreas. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the pancreas 90% Intrauterine growth retardation 90% Maternal diabetes 90% Type I diabetes mellitus 90% Autosomal dominant inheritance - Diabetes mellitus - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available.","What are the signs and symptoms of agenesis of the dorsal pancreas? The Human Phenotype Ontology provides the following list of signs and symptoms for agenesis of the dorsal pancreas. If the information is available, click on a link above to navigate to its detailed definition for each sign or symptom.",4,1,6,7.0,"The candidate is vague and omits the actual key symptoms listed in the reference, though it does not add harmful misinformation.",2.1744965999996566,
77,medquad,GPT-5.5,what research (or clinical trials) is being done for Tay-Sachs Disease ?,"The mission of the National Institute of Neurological Disorders and Stroke (NINDS) is to seek fundamental knowledge about the brain and nervous system and to use that knowledge to reduce the burden of neurological disease. The NINDS is a part of the National Institutes of Health (NIH), the leading supporter of biomedical research in the world. the NINDS and other NIH Institutes supports the Lysosomal Diseases Netowrk, which addresses some of the major challenges in the diagnosis, management, and therapy of rare diseases, including the lipid storage diseases. Additional research funded by the NINDS focuses on better understanding how neurological defects arise in lipid storage disorders and on the development of new treatments targeting disease mechanisms, including gene therapies, cell-based therapies, and pharmacological approaches. NINDS-funded research on the gangliosidoses includes using variations of magnetic resonance imaging to develop a biomarker (a sign that may indicate risk of a disease and improve diagnosis) to effectively evaluate brain biochemistry and disease progression. Other research is expanding the use of virus-delivered gene therapy seen in an animall model of Tay-Sachs disease for use in humans.","Research for Tay-Sachs disease is mainly focused on **restoring or replacing Hexosaminidase A activity** in the brain. The biggest area is **gene therapy** for GM2 gangliosidosis, using AAV vectors to deliver functional **HEXA**—sometimes both **HEXA and HEXB**—into the CNS by intrathecal, intracisternal, or brain-targeted delivery. Recent/early clinical programs have included **AXO-AAV-GM2 / GM2 gene therapy** and **TSHA-101**, though these are early-phase and some programs have been paused, modified, or limited to small numbers of patients.

Other clinical research includes **substrate-reduction therapy**, aiming to reduce ganglioside buildup; examples include **venglustat** and older studies with **miglustat**, especially for late-onset Tay-Sachs/GM2. There have also been trials of **N-acetyl-L-leucine** for neurologic symptoms such as ataxia, and smaller studies of **pharmacologic chaperones** such as pyrimethamine to increase residual HexA activity in late-onset disease.

Additional work is ongoing in **enzyme replacement strategies that can reach the brain**, improved **newborn screening**, natural-history studies, biomarkers, and supportive-treatment research for seizures, swallowing, respiratory care, and neurodevelopment. The most useful search terms on ClinicalTrials.gov are **“Tay-Sachs,” “GM2 gangliosidosis,” “HEXA,” “venglustat,” “TSHA-101,”** and **“AAV-GM2.”**",9,9,9,10.0,"Accurate, well-organized summary of major Tay-Sachs research areas and examples of clinical programs, with only minor risk of becoming outdated on specific trial statuses.",2.047280199999477,
77,medquad,QLoRA Qwen,what research (or clinical trials) is being done for Tay-Sachs Disease ?,"The mission of the National Institute of Neurological Disorders and Stroke (NINDS) is to seek fundamental knowledge about the brain and nervous system and to use that knowledge to reduce the burden of neurological disease. The NINDS is a part of the National Institutes of Health (NIH), the leading supporter of biomedical research in the world. the NINDS and other NIH Institutes supports the Lysosomal Diseases Netowrk, which addresses some of the major challenges in the diagnosis, management, and therapy of rare diseases, including the lipid storage diseases. Additional research funded by the NINDS focuses on better understanding how neurological defects arise in lipid storage disorders and on the development of new treatments targeting disease mechanisms, including gene therapies, cell-based therapies, and pharmacological approaches. NINDS-funded research on the gangliosidoses includes using variations of magnetic resonance imaging to develop a biomarker (a sign that may indicate risk of a disease and improve diagnosis) to effectively evaluate brain biochemistry and disease progression. Other research is expanding the use of virus-delivered gene therapy seen in an animall model of Tay-Sachs disease for use in humans.","The National Institute of Neurological Disorders and Stroke (NINDS), part of the National Institutes of Health, conducts research on many neurological disorders. This research increases understanding of the causes and brain functions. Future treatments may be developed to help prevent or treat Tay-Sachs disease and other neurodegenerative diseases.",7,3,8,9.0,"The answer is generally accurate and clear but too vague, omitting the key Tay-Sachs-specific research areas and clinical trial directions such as gene therapy, biomarkers, and lysosomal disease network efforts.",1.743950300000506,
78,drugbank-side_effects,GPT-5.5,What are the side effects of Fostemsavir?,"Data regarding fostemsavir overdose are unavailable. Symptoms of overdose are likely to be consistent with fostemsavir's adverse effect profile and may therefore involve significant GI disturbance and prolongation of the QT interval. In the event of overdose, patients should be monitored closely, including the use of ECG, and treated symptomatically as clinically indicated. As fostemsavir is highly protein-bound, dialysis is unlikely to be of benefit in the event of an overdose.","Fostemsavir (Rukobia) can cause common side effects such as nausea, diarrhea, headache, stomach/abdominal pain, indigestion, vomiting, tiredness, and rash.

Less common but more serious effects include elevated liver enzymes or liver inflammation, especially in people with hepatitis B or C, immune reconstitution inflammatory syndrome (worsening or unmasking of infections after HIV treatment improves immunity), and QT prolongation, a heart rhythm change that is more likely at high drug levels or with certain interacting medicines.",8,6,9,8.0,"Clear and mostly correct adverse-effect summary, but it does not address the reference’s overdose management points such as monitoring, ECG, and limited role of dialysis.",1.853505099999893,
78,drugbank-side_effects,QLoRA Qwen,What are the side effects of Fostemsavir?,"Data regarding fostemsavir overdose are unavailable. Symptoms of overdose are likely to be consistent with fostemsavir's adverse effect profile and may therefore involve significant GI disturbance and prolongation of the QT interval. In the event of overdose, patients should be monitored closely, including the use of ECG, and treated symptomatically as clinically indicated. As fostemsavir is highly protein-bound, dialysis is unlikely to be of benefit in the event of an overdose.","There is limited clinical experience with overdosage of fostemsavir. In case of overdose, supportive and symptomatic treatment should be provided as clinically indicated [FDA Label]. The most common adverse reactions (incidence ≥5%) were headache, nausea/vomiting, fatigue, diarrhea, nasopharyngitis, upper respiratory tract infection, abdominal pain, pyrexia, pruritus, and asthenia/fatigue.",8,6,8,7.0,"Mostly accurate and clear, but it omits key overdose-specific points from the reference such as QT prolongation risk, ECG monitoring, and the lack of benefit from dialysis.",3.014862699999867,
79,medquad,GPT-5.5,What is (are) Diffuse gastric cancer ?,"Diffuse gastric cancer or signet ring cell cancer is a type of cancer found most often in the glandular cells lining the stomach, but can also develop in the bowel, breast, pancreas, bladder, prostate or lung. The 2010 WHO (World Health Organization) classification recognizes four major histologic patterns of gastric cancers: tubular, papillary, mucinous and poorly cohesive (including signet ring cell carcinoma), plus uncommon histologic variants. The term ""signet ring cell"" is often used because the cells look like signet rings when viewed under a microscope. The signet cells are a type of epithelial cell. Epithelial tissue is skin tissue, covering and lining the body both inside and out. When diffuse gastric cancer is inherited it is called ""hereditary diffuse gastric cancer."" Treatment depends on the stage at which the cancer is found and may include chemotherapy, radiation therapy, or operations to remove the stomach (gastrectomy).","Diffuse gastric cancer is a type of stomach cancer in which malignant cells spread widely through the stomach wall rather than forming a distinct tumor mass. The cells are often “poorly cohesive” and may appear as signet-ring cells under the microscope.

Because it infiltrates the stomach wall, it can make the stomach thick, stiff, and less able to stretch, a condition sometimes called linitis plastica. It is often harder to detect early than intestinal-type gastric cancer. Some cases are hereditary, most notably due to inherited mutations in the CDH1 gene, called hereditary diffuse gastric cancer.",10,8,9,10.0,"Accurate, clear description of diffuse/signet-ring gastric cancer and hereditary CDH1 association, but it omits broader sites/WHO context and treatment details from the reference.",2.040097500000229,
79,medquad,QLoRA Qwen,What is (are) Diffuse gastric cancer ?,"Diffuse gastric cancer or signet ring cell cancer is a type of cancer found most often in the glandular cells lining the stomach, but can also develop in the bowel, breast, pancreas, bladder, prostate or lung. The 2010 WHO (World Health Organization) classification recognizes four major histologic patterns of gastric cancers: tubular, papillary, mucinous and poorly cohesive (including signet ring cell carcinoma), plus uncommon histologic variants. The term ""signet ring cell"" is often used because the cells look like signet rings when viewed under a microscope. The signet cells are a type of epithelial cell. Epithelial tissue is skin tissue, covering and lining the body both inside and out. When diffuse gastric cancer is inherited it is called ""hereditary diffuse gastric cancer."" Treatment depends on the stage at which the cancer is found and may include chemotherapy, radiation therapy, or operations to remove the stomach (gastrectomy).","Diffuse gastric cancer is an uncommon type of stomach cancer that spreads quickly and can be fatal if untreated. It is usually diagnosed in middle-aged or older adults, with symptoms including weight loss, nausea/vomiting, abdominal pain, and fatigue. The cause of diffuse gastric cancer is unknown, but it may be related to chronic inflammation of the stomach lining due to long-term use of aspirin or other nonsteroidal anti-inflammatory drugs (NSAIDs), autoimmune disorders such as Crohn's disease, H. pylori infection, smoking, alcohol abuse, and/or diet high in salted, pickled, or smoked foods. Diffuse gastric cancer is diagnosed through a combination of blood tests, imaging studies, endoscopy, and biopsy. Treatment depends on the stage of the cancer but may include surgery to remove part of the stomach, chemotherapy, radiation therapy, or both.",6,5,8,7.0,"Clear and generally reasonable on presentation, diagnosis, and treatment, but it misses the defining histology/signet-ring nature of diffuse gastric cancer and includes questionable risk-factor claims such as NSAID use and Crohn's disease.",1.9650467999999819,
80,drugbank-mechanism_of_action,GPT-5.5,How does Pasireotide work?,"Pasireotide activates a broad spectrum of somatostatin receptors, exhbiting a much higher binding affinity for somatostatin receptors 1, 3, and 5 than octreotide in vitro, as well as a comparable binding affinity for somatostatin receptor 2. The binding and activation of the somatostatin receptors causes inhibition of ACTH secretion and results in reduced cortisol secretion in Cushing's disease patients. Also this agent is more potent than somatostatin in inhibiting the release of human growth hormone (HGH), glucagon, and insulin.","Pasireotide is a long-acting somatostatin analog. It works by binding somatostatin receptors—especially subtypes 1, 2, 3, and 5, with particularly strong activity at subtype 5—on hormone-secreting cells.

Activation of these receptors inhibits intracellular signaling such as cAMP production and calcium-dependent hormone release, reducing secretion of hormones like ACTH in Cushing disease and growth hormone in acromegaly. Because it also suppresses insulin and incretin hormones, pasireotide commonly causes or worsens hyperglycemia.",10,9,10,10.0,"Accurate, clear mechanism including receptor profile and clinical hormone effects, with useful mention of hyperglycemia; only slightly less specific than the reference about comparative receptor affinities and potency.",2.731762099999287,
80,drugbank-mechanism_of_action,QLoRA Qwen,How does Pasireotide work?,"Pasireotide activates a broad spectrum of somatostatin receptors, exhbiting a much higher binding affinity for somatostatin receptors 1, 3, and 5 than octreotide in vitro, as well as a comparable binding affinity for somatostatin receptor 2. The binding and activation of the somatostatin receptors causes inhibition of ACTH secretion and results in reduced cortisol secretion in Cushing's disease patients. Also this agent is more potent than somatostatin in inhibiting the release of human growth hormone (HGH), glucagon, and insulin.","Pasireotide is an endogenous ligand of the mineralocorticoid receptor (MR) that binds to MR with high affinity and acts as a potent agonist at the MR receptor. The exact mechanism by which pasireotide exerts its antiproliferative effects on pancreatic beta cells has not been elucidated, however it is thought to involve inhibition of growth factor signaling pathways such as PI3K/AKT and Ras/Raf/Mek/Erk. It also inhibits the expression of pro-inflammatory cytokines like IL-6 and TNF-alpha in vitro.",0,0,6,2.0,"The answer is clearly written but fundamentally incorrect, misidentifying pasireotide as a mineralocorticoid receptor agonist instead of a somatostatin receptor agonist that suppresses ACTH/cortisol secretion.",2.0555336999996143,
81,medquad,GPT-5.5,What are the treatments for Duchenne and Becker muscular dystrophy ?,These resources address the diagnosis or management of Duchenne and Becker muscular dystrophy: - Gene Review: Gene Review: Dilated Cardiomyopathy Overview - Gene Review: Gene Review: Dystrophinopathies - Genetic Testing Registry: Becker muscular dystrophy - Genetic Testing Registry: Duchenne muscular dystrophy - Genomics Education Programme (UK) - MedlinePlus Encyclopedia: Becker Muscular Dystrophy - MedlinePlus Encyclopedia: Dilated Cardiomyopathy - MedlinePlus Encyclopedia: Duchenne Muscular Dystrophy These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,"Treatment for Duchenne and Becker muscular dystrophy is multidisciplinary and focuses on slowing muscle decline, preserving mobility, and preventing cardiac/respiratory complications. Core care includes physiotherapy, stretching, exercise within tolerance, ankle-foot orthoses, scoliosis monitoring, mobility aids, nutritional support, and management of swallowing or bone health problems.

For Duchenne muscular dystrophy, corticosteroids such as prednisone/prednisolone or deflazacort are standard to slow loss of strength and ambulation. Mutation-specific therapies may be used in eligible patients, including exon-skipping drugs such as eteplirsen, golodirsen, viltolarsen, or casimersen, ataluren for certain nonsense mutations in some countries, and micro-dystrophin gene therapy in selected patients.

Both Duchenne and Becker muscular dystrophy require routine cardiac and respiratory care. Cardiomyopathy is treated or prevented with ACE inhibitors/ARBs, beta-blockers, and sometimes mineralocorticoid receptor antagonists such as eplerenone or spironolactone. Respiratory support may include cough-assist devices, noninvasive ventilation, vaccinations, and prompt treatment of chest infections.",9,8,9,9.0,"Accurate, clear overview of standard multidisciplinary, steroid, cardiac, and respiratory management, though it omits some broader supportive options like genetic counseling, surgery/rehabilitation, and palliative care.",2.5207038999997167,
81,medquad,QLoRA Qwen,What are the treatments for Duchenne and Becker muscular dystrophy ?,These resources address the diagnosis or management of Duchenne and Becker muscular dystrophy: - Gene Review: Gene Review: Dilated Cardiomyopathy Overview - Gene Review: Gene Review: Dystrophinopathies - Genetic Testing Registry: Becker muscular dystrophy - Genetic Testing Registry: Duchenne muscular dystrophy - Genomics Education Programme (UK) - MedlinePlus Encyclopedia: Becker Muscular Dystrophy - MedlinePlus Encyclopedia: Dilated Cardiomyopathy - MedlinePlus Encyclopedia: Duchenne Muscular Dystrophy These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,"There is no cure for DMD or BMD at this time. Treatment may include: - Physical therapy to keep muscles strong and joints flexible. - Respiratory support, such as a ventilator, if breathing problems occur. - Medications that slow the progression of muscle degeneration. - Genetic counseling for families with an increased risk of passing on these disorders.",9,6,9,9.0,"Accurate, clear summary of supportive management and counseling, but it is somewhat incomplete because it omits important multidisciplinary treatments such as cardiac care, corticosteroids/rehabilitation specifics, and newer mutation-specific therapies.",2.7067214999997304,
82,medquad,GPT-5.5,How many people are affected by Problems with Taste ?,"Roughly 200,000 people each year visit a doctor for a chemosensory problem such as a taste disorder. Many more taste disorders go unreported.","The exact number is not known, because many people do not seek medical care. In the U.S., more than 200,000 people visit a doctor each year for problems with taste or smell, and estimates suggest up to about 15% of adults may have some problem with taste or smell.",9,9,9,10.0,"Accurately conveys that many cases go unreported and gives the key U.S. estimate, with only minor broadening from taste alone to taste or smell.",1.8115219000001161,
82,medquad,QLoRA Qwen,How many people are affected by Problems with Taste ?,"Roughly 200,000 people each year visit a doctor for a chemosensory problem such as a taste disorder. Many more taste disorders go unreported.",Problems with taste affect about 2 percent of Americans.,4,3,9,9.0,"Clear and succinct, but it does not match the reference estimate of about 200,000 doctor visits annually and omits the point that many cases go unreported.",1.7285179999998945,
83,bioasq,GPT-5.5,Which are the classes of anti-arrhythmic drugs according to Vaughan-Williams classification?,"Antiarrhythmic drugs can be divided into four Vaughan Williams classes (I-IV). Class I antiarrhythmic agents have as a common action, blockade of the sodium channels. Class II agents are antisympathetic drugs, particularly the beta-adrenoceptor blockers. Class-III antiarrhythmics have as a common action the potassium-channel blockade. Class IV antiarrhythmic drugs are calcium channel blockers.","The Vaughan–Williams classification divides anti-arrhythmic drugs into:

**Class I:** Sodium channel blockers  
Subdivided into **IA** (e.g., quinidine, procainamide, disopyramide), **IB** (e.g., lidocaine, mexiletine), and **IC** (e.g., flecainide, propafenone).

**Class II:** Beta-blockers, such as propranolol, metoprolol, and esmolol.

**Class III:** Potassium channel blockers that prolong repolarization, such as amiodarone, sotalol, dofetilide, and ibutilide.

**Class IV:** Calcium channel blockers, mainly verapamil and diltiazem.

Some classifications also include a miscellaneous **Class V**, including drugs such as adenosine, digoxin, and magnesium sulfate.",10,10,10,10.0,"Accurate, well-organized, and more complete than the reference, with only a benign mention of a nonstandard miscellaneous class.",1.9142888999995193,
83,bioasq,QLoRA Qwen,Which are the classes of anti-arrhythmic drugs according to Vaughan-Williams classification?,"Antiarrhythmic drugs can be divided into four Vaughan Williams classes (I-IV). Class I antiarrhythmic agents have as a common action, blockade of the sodium channels. Class II agents are antisympathetic drugs, particularly the beta-adrenoceptor blockers. Class-III antiarrhythmics have as a common action the potassium-channel blockade. Class IV antiarrhythmic drugs are calcium channel blockers.","The main classes of antiarrhythmic drugs are: Class I (quinidine, procainamide), class II (disopyrmide, amiodarone, sotalol, propafenone, quinidazine, drometrizoletriazine, dofetilide), class III (cardiac amyloidosis, ventricular tachycardia, atrial fibrillation and flutter, long QT syndrome) and class IV (dysrhythmias of the myocardium).",1,1,2,3.0,"The answer badly misclassifies drugs and even lists diseases/conditions instead of Vaughan-Williams classes, making it inaccurate and potentially misleading.",1.838440300000002,
84,drugbank-indication,GPT-5.5,What is Netilmicin used for?,"For the treatment of bacteremia, septicaemia, respiratory tract infections, skin and soft-tissue infection, burns, wounds, and peri-operative infections caused by susceptible strains.","Netilmicin is an aminoglycoside antibiotic used to treat serious bacterial infections, especially those caused by aerobic Gram-negative bacteria such as Enterobacteriaceae, Pseudomonas, and some Staphylococcus species.

It may be used for infections such as septicemia, complicated urinary tract infections, respiratory tract infections, intra-abdominal infections, skin and soft tissue infections, bone/joint infections, and neonatal infections. It is usually given by injection and is often reserved for significant infections where aminoglycoside treatment is appropriate.",8,8,9,9.0,"Accurate and clearly written broad description of netilmicin’s role in serious susceptible bacterial infections, though it omits some reference examples like burns, wounds, and peri-operative use and adds some less-certain indications.",2.2069374000002426,
84,drugbank-indication,QLoRA Qwen,What is Netilmicin used for?,"For the treatment of bacteremia, septicaemia, respiratory tract infections, skin and soft-tissue infection, burns, wounds, and peri-operative infections caused by susceptible strains.",Netilmicin is indicated to treat infections caused by susceptible strains of gram-negative bacilli and susceptible strains of Escherichia coli and related species [FDA Label].,8,4,8,9.0,"Factually correct but too general and omits the main infection types listed in the reference, though it is clearly written and not unsafe.",1.9386506000000736,
85,drugbank-indication,GPT-5.5,What is Fosinopril used for?,"For treating mild to moderate hypertension, use as an adjunct in treating congestive heart failure, and may be used to slow the rate of progression of renal disease in hypertensive individuals with diabetes mellitus and microalbuminuria or overt nephropathy.","Fosinopril is an ACE inhibitor used mainly to treat high blood pressure and heart failure. It helps relax blood vessels, lowering blood pressure and making it easier for the heart to pump.

It may also help reduce strain on the heart and, in some patients, protect kidney function by lowering pressure in the kidney’s filtering system.",9,8,9,9.0,"Accurately identifies hypertension and heart failure uses and mentions renal protection, but is slightly less specific than the reference about diabetic nephropathy and adjunctive use in CHF.",2.889290300000539,
85,drugbank-indication,QLoRA Qwen,What is Fosinopril used for?,"For treating mild to moderate hypertension, use as an adjunct in treating congestive heart failure, and may be used to slow the rate of progression of renal disease in hypertensive individuals with diabetes mellitus and microalbuminuria or overt nephropathy.","Fosinopril is indicated to reduce blood pressure in adults with essential hypertension and as adjunctive therapy in patients with left ventricular dysfunction secondary to heart failure, severe aortic stenosis or bicuspid valve disease. It may be administered alone or in combination with other antihypertensive agents.",4,5,8,4.0,"Clear wording, but it incorrectly includes severe aortic stenosis/bicuspid valve disease as indications and omits the renal-protection use in diabetic nephropathy.",1.7714673999998922,
86,drugbank-mechanism_of_action,GPT-5.5,How does Thonzonium work?,"Thonzonium bromide is a suface-active agent added in nasal and ear drops that potentiates and lenghten the time of skin contact with the active compounds and penetration through the cellular debris. Thonzonium bromide uncouples vacuolar ATPase in pathogenic fungi such as *Candida albicans* and inhibit cell growth in vitro. It interacts with the tether of subunit a (Vph1p) of the membrane-bound V0 subunit that forms the proton transport path. Disruption of the essential pump function prevents redistribution of cytosolic protons into the vacuolar lumen, resulting in acidification of the cytosol and cell death. A study reports that thonzonium bromide mediates an antiresorptive action on osteoclasts by inhibiting RANKL-induced osteoclast formation. It is shown to block the RANKL-induced activation of NF-jB, ERK and c-Fos as well as the induction of NFATc1 which is essential for OC formation. It also disrupted F-actin ring formation resulting in disturbances in cytoskeletal structure in mature OCs during bone resorption.","Thonzonium is a cationic surface-active agent, or “wetting agent.” It lowers surface tension, helping liquid spread over and penetrate the moist debris, wax, and discharge in the ear canal.

In ear-drop combinations, thonzonium mainly helps the antibiotic and steroid ingredients make better contact with the infected or inflamed tissue. It is not usually the main antibacterial or anti-inflammatory component; it acts more as a penetration/spreading aid.",9,6,10,,"Clear and clinically accurate for common otic use, but it omits the broader mechanistic details in the reference such as antifungal V-ATPase effects and osteoclast-related actions.",1.9247408999999607,
86,drugbank-mechanism_of_action,QLoRA Qwen,How does Thonzonium work?,"Thonzonium bromide is a suface-active agent added in nasal and ear drops that potentiates and lenghten the time of skin contact with the active compounds and penetration through the cellular debris. Thonzonium bromide uncouples vacuolar ATPase in pathogenic fungi such as *Candida albicans* and inhibit cell growth in vitro. It interacts with the tether of subunit a (Vph1p) of the membrane-bound V0 subunit that forms the proton transport path. Disruption of the essential pump function prevents redistribution of cytosolic protons into the vacuolar lumen, resulting in acidification of the cytosol and cell death. A study reports that thonzonium bromide mediates an antiresorptive action on osteoclasts by inhibiting RANKL-induced osteoclast formation. It is shown to block the RANKL-induced activation of NF-jB, ERK and c-Fos as well as the induction of NFATc1 which is essential for OC formation. It also disrupted F-actin ring formation resulting in disturbances in cytoskeletal structure in mature OCs during bone resorption.","Thonzium is an anticholinergic drug that acts by inhibiting acetylcholine at muscarinic receptors in the gastrointestinal tract and bladder. It also has effects on other cholinergic receptors, including nicotinic receptors in the central nervous system (CNS) and muscarinic receptors in the heart and lungs.",0,0,6,2.0,"The response is clearly written but describes an unrelated anticholinergic mechanism, completely missing thonzonium bromide’s actual surfactant/permeation-enhancing and other reported actions, which is misleading.",2.2557340000003023,
87,drugbank-description,GPT-5.5,What is Streptococcus pneumoniae type 18C capsular polysaccharide diphtheria CRM197 protein conjugate antigen?,"Streptococcus pneumoniae type 18c capsular polysaccharide diphtheria CRM197 protein conjugate antigen is a sterile vaccine that contains saccharides of the capsular antigens of *Streptococcus pneumoniae* serotype 18c individually conjugated to the CRM197 protein, a nontoxic variant of diphtheria toxin isolated from cultures of *Corynebacterium diphtheriae* strain C7 (β197). It is contained in the vaccine under the market name Prevnar that contains the saccharides for serotypes 4, 6B, 9V, 14, 18C, 19F, and 23F for intramuscular injection. The saccharides in the vaccine are prepared from purified polysaccharides that are chemically activated then conjugated to the protein carrier CRM197 to form the glycoconjugate.","Streptococcus pneumoniae type 18C capsular polysaccharide diphtheria CRM197 protein conjugate antigen is a vaccine component used to protect against pneumococcal serotype 18C.

It consists of the purified capsule sugar from Streptococcus pneumoniae type 18C chemically linked to CRM197, a non-toxic mutant form of diphtheria toxin. This protein conjugation helps the immune system produce a stronger, longer-lasting antibody response, especially in infants and young children.

It is one of the serotype-specific antigens found in pneumococcal conjugate vaccines, helping prevent diseases such as pneumonia, meningitis, bloodstream infection, and otitis media caused by S. pneumoniae serotype 18C.",9,8,9,10.0,"Accurate, clear description of the 18C CRM197 conjugate and its role in pneumococcal conjugate vaccines, though it omits specific product/formulation details like Prevnar serotype composition and sterile IM vaccine context.",2.0877758000005997,
87,drugbank-description,QLoRA Qwen,What is Streptococcus pneumoniae type 18C capsular polysaccharide diphtheria CRM197 protein conjugate antigen?,"Streptococcus pneumoniae type 18c capsular polysaccharide diphtheria CRM197 protein conjugate antigen is a sterile vaccine that contains saccharides of the capsular antigens of *Streptococcus pneumoniae* serotype 18c individually conjugated to the CRM197 protein, a nontoxic variant of diphtheria toxin isolated from cultures of *Corynebacterium diphtheriae* strain C7 (β197). It is contained in the vaccine under the market name Prevnar that contains the saccharides for serotypes 4, 6B, 9V, 14, 18C, 19F, and 23F for intramuscular injection. The saccharides in the vaccine are prepared from purified polysaccharides that are chemically activated then conjugated to the protein carrier CRM197 to form the glycoconjugate.",Streptococcus pneumoniae type 18C capsular polysaccharide diphtheria CRM197 protein conjugate antigen is a sterile vaccine that contains saccharides of the capsular antigens of *Streptococcus pneumoniae* serotype 18C individually conjugated to Corynebacterium diphtheriae CRM197 protein carrier globulin which has been modified to block Fc effector function.,2,3,6,5.0,It correctly identifies a serotype 18C polysaccharide-CRM197 conjugate vaccine antigen but incorrectly describes CRM197 as a modified globulin with blocked Fc function and omits key context about CRM197 being a nontoxic diphtheria toxin variant and its vaccine formulation.,2.7397382999997717,
88,medquad,GPT-5.5,What is the outlook for Dystonias ?,"The initial symptoms can be very mild and may be noticeable only after prolonged exertion, stress, or fatigue. Dystonias often progress through various stages. Initially, dystonic movements are intermittent and appear only during voluntary movements or stress. Later, individuals may show dystonic postures and movements while walking and ultimately even while they are relaxed. Dystonic motions may lead to permanent physical deformities by causing tendons to shorten.","The outlook for dystonia varies widely depending on its cause, age of onset, body areas involved, and response to treatment. Many adult-onset focal dystonias, such as cervical dystonia or writer’s cramp, tend to remain limited to one region and may stabilize over time, though symptoms are often chronic and can fluctuate.

Childhood-onset dystonia is more likely to spread to multiple body areas, especially if it is genetic or part of another neurologic condition. Secondary dystonias, caused by brain injury, medications, metabolic disease, or other disorders, depend on the underlying cause.

Dystonia is usually not life-threatening, and life expectancy is often normal. Treatments such as botulinum toxin injections, medications, physical therapy, and in selected cases deep brain stimulation can significantly improve symptoms and quality of life, though they may not cure the condition.",8,6,9,9.0,"Clear and generally accurate prognosis overview, but it omits the reference’s key point about typical progression from intermittent stress/exertion-triggered symptoms to more persistent dystonia and possible contractures/deformity.",1.8088376000005155,
88,medquad,QLoRA Qwen,What is the outlook for Dystonias ?,"The initial symptoms can be very mild and may be noticeable only after prolonged exertion, stress, or fatigue. Dystonias often progress through various stages. Initially, dystonic movements are intermittent and appear only during voluntary movements or stress. Later, individuals may show dystonic postures and movements while walking and ultimately even while they are relaxed. Dystonic motions may lead to permanent physical deformities by causing tendons to shorten.","The prognosis of dystonia depends on the type and severity of the condition. The most severe form, hereditary spastic ataxic dystonia (HSAD), has an average life expectancy of 47 years. Patients with other forms of dystonia may have a more normal life expectancy if they receive appropriate treatment.",2,2,8,4.0,"Clear but largely misses the expected course of dystonia progression and includes a questionable, unsupported claim about HSAD life expectancy.",1.5524077999998553,
89,bioasq,GPT-5.5,Is there a role of regorafenib for sarcoma treatment?,"Yes, there is evidence to suggest that regorafenib can be effective for sarcoma treatment. Clinical trials are under-way.","Yes. Regorafenib has a role in selected sarcoma settings, mainly for advanced or metastatic disease after prior standard therapy. Its clearest approved sarcoma-related use is in gastrointestinal stromal tumor after progression on imatinib and sunitinib.

For non-GIST sarcomas, regorafenib is not a universal standard but has evidence of benefit in some subtypes, particularly non-adipocytic soft tissue sarcomas such as leiomyosarcoma and synovial sarcoma, and in some studies of osteosarcoma. The benefit is usually improved progression-free survival and disease stabilization rather than high tumor-shrinkage rates.

It is generally considered a later-line option for selected patients with good performance status, with toxicities including hand–foot skin reaction, hypertension, fatigue, diarrhea, mucositis, and liver enzyme abnormalities.",9,9,9,9.0,"Accurate, clear summary that appropriately notes regorafenib’s later-line role and ongoing evidence in selected sarcoma subtypes, with only minor nuance beyond the brief reference.",2.0595125999998345,
